temperature;global_horizontal_rad;direct_normal_rad;dif_rad_horizontal;irr_rad;wind_speed;humidity
5.4;0;0;0;285;4.1;84
5.0;0;0;0;285;3.1;84
5.8;13;0;13;289;2.6;82
6.6;21;0;21;296;2.6;82
6.7;38;0;38;301;5.7;88
7.5;47;0;47;305;7.7;88
7.2;48;0;48;297;8.2;87
7.1;40;0;40;315;8.2;91
8.0;25;0;25;330;8.7;93
8.6;8;0;8;333;10.3;95
9.1;0;0;0;336;11.8;95
9.5;0;0;0;339;11.8;96
9.6;0;0;0;339;12.3;95
9.8;0;0;0;340;12.9;91
8.2;0;0;0;304;10.8;79
6.6;0;0;0;278;8.7;62
5.8;0;0;0;284;6.7;67
4.8;0;0;0;266;6.2;69
4.0;0;0;0;263;4.1;75
3.7;0;0;0;263;3.6;80
3.4;0;0;0;262;3.1;82
2.8;0;0;0;259;1.5;85
2.8;0;0;0;259;3.6;85
3.6;0;0;0;267;2.6;80
5.4;0;0;0;278;3.6;72
6.4;0;0;0;279;5.1;71
7.3;13;0;13;296;6.2;76
7.4;55;10;54;315;7.2;82
7.2;97;18;93;300;8.2;84
8.7;237;288;157;297;7.2;80
9.7;176;229;112;311;7.7;74
10.1;177;378;82;301;7.7;66
9.6;66;12;64;298;6.2;67
9.5;20;0;20;327;6.2;80
9.6;0;0;0;316;6.2;82
9.4;0;0;0;338;8.7;93
9.9;0;0;0;340;10.3;89
9.3;0;0;0;337;10.8;93
9.3;0;0;0;338;11.3;96
9.8;0;0;0;340;10.3;95
9.9;0;0;0;341;11.3;95
10.5;0;0;0;344;11.3;92
10.8;0;0;0;346;9.3;94
11.2;0;0;0;349;8.7;95
10.5;0;0;0;334;6.7;91
9.9;0;0;0;340;6.2;90
9.5;0;0;0;338;6.7;93
9.0;0;0;0;334;5.1;85
8.4;0;0;0;300;7.7;81
8.9;0;0;0;304;8.7;76
8.7;13;0;13;293;10.3;65
8.4;56;13;54;292;8.2;65
9.0;99;19;94;295;7.7;63
9.3;124;30;116;294;10.3;53
8.1;127;31;118;285;8.2;58
7.9;108;26;101;283;7.7;53
7.5;69;12;66;281;6.2;52
7.0;21;0;21;281;5.1;63
6.5;0;0;0;278;3.9;65
6.0;0;0;0;271;2.6;67
6.4;0;0;0;309;3.1;76
7.4;0;0;0;285;3.1;77
7.4;0;0;0;304;4.1;81
7.1;0;0;0;314;5.7;87
5.2;0;0;0;293;5.1;86
4.7;0;0;0;273;4.1;85
4.4;0;0;0;272;3.6;89
5.2;0;0;0;271;4.1;87
5.2;0;0;0;271;3.6;91
5.9;0;0;0;274;4.1;86
6.1;0;0;0;294;3.6;88
6.5;0;0;0;281;3.6;78
7.3;0;0;0;287;3.6;88
7.1;0;0;0;288;5.1;80
6.2;13;0;13;295;5.1;88
6.0;57;13;55;291;3.6;84
5.3;100;19;95;290;5.7;89
6.3;125;25;118;310;6.2;86
7.0;128;25;121;312;7.7;78
6.1;182;312;103;289;8.2;74
6.4;136;421;59;279;5.1;69
5.6;43;186;29;276;4.6;77
4.0;1;0;1;274;2.6;87
4.1;0;0;0;270;3.6;84
4.2;0;0;0;266;4.1;84
4.0;0;0;0;265;2.6;85
3.3;0;0;0;262;2.1;88
3.2;0;0;0;262;1.0;89
2.4;0;0;0;258;1.5;92
3.1;0;0;0;275;2.6;91
4.1;0;0;0;307;3.1;92
3.6;0;0;0;283;1.5;95
2.9;0;0;0;277;2.1;95
2.0;0;0;0;262;2.1;96
1.6;0;0;0;260;2.1;98
2.2;0;0;0;263;1.0;96
0.4;0;0;0;258;0.0;96
0.4;0;0;0;255;0.0;98
0.4;14;0;14;263;0.0;98
0.9;58;36;52;261;1.0;98
2.3;101;20;96;267;0.0;98
4.4;179;233;112;273;1.5;90
6.1;252;453;120;279;1.5;80
6.7;214;587;64;285;3.6;71
6.2;138;481;49;279;3.6;74
5.7;42;161;29;285;2.6;75
4.8;1;0;1;286;2.6;77
4.9;0;0;0;300;5.1;73
4.5;0;0;0;284;4.1;77
4.5;0;0;0;299;3.6;79
4.1;0;0;0;286;3.1;80
3.3;0;0;0;275;3.1;85
3.0;0;0;0;278;3.1;86
2.2;0;0;0;278;3.1;91
1.1;0;0;0;252;2.6;92
0.5;0;0;0;250;2.6;92
0.1;0;0;0;248;2.1;88
-0.6;0;0;0;245;2.1;91
-1.3;0;0;0;242;1.0;90
-1.5;0;0;0;241;1.5;96
-0.6;0;0;0;244;2.6;86
-1.4;0;0;0;246;0.0;92
-0.5;28;45;26;249;1.5;86
1.0;116;221;80;255;3.6;79
2.9;201;609;53;263;4.1;73
3.9;252;659;62;267;4.1;68
5.0;258;667;62;271;4.6;62
5.4;220;628;57;272;4.1;58
5.3;143;500;49;272;4.6;60
4.6;47;195;30;270;4.1;67
3.5;1;0;1;266;3.1;72
2.4;0;0;0;256;2.1;78
-0.2;0;0;0;246;0.0;88
0.3;0;0;0;254;1.0;95
0.2;0;0;0;248;2.1;92
-0.9;0;0;0;243;1.5;92
-1.0;0;0;0;243;1.0;96
-2.0;0;0;0;243;1.0;90
-2.2;0;0;0;243;1.0;95
-2.5;0;0;0;244;0.0;92
-0.5;0;0;0;260;3.1;95
0.9;0;0;0;257;2.1;94
-0.4;0;0;0;254;0.0;93
-0.7;0;0;0;250;0.0;97
-3.4;0;0;0;240;0.0;89
-2.2;0;0;0;243;1.0;96
1.1;29;56;26;255;4.1;77
2.9;118;223;81;262;5.1;70
4.1;204;613;53;268;5.7;68
5.0;253;652;64;276;6.7;70
5.3;260;661;64;277;7.2;66
5.6;223;626;58;272;8.7;56
5.3;146;507;49;272;7.7;61
4.4;50;204;31;263;8.7;62
3.4;2;0;2;265;8.2;72
2.9;0;0;0;259;8.7;77
2.9;0;0;0;259;8.7;78
2.3;0;0;0;261;7.7;82
2.6;0;0;0;273;4.1;82
2.8;0;0;0;267;6.7;77
2.4;0;0;0;261;7.2;76
2.0;0;0;0;259;6.7;77
1.6;0;0;0;258;4.6;79
1.4;0;0;0;257;5.1;77
1.3;0;0;0;250;5.1;70
0.8;0;0;0;249;2.6;76
0.5;0;0;0;248;4.1;76
0.0;0;0;0;245;3.6;75
-0.5;0;0;0;243;3.6;77
-0.7;0;0;0;242;3.1;76
-0.4;30;69;26;244;4.1;81
0.4;121;229;83;246;3.6;66
1.5;207;625;52;250;3.1;64
2.8;259;671;62;256;3.1;64
3.5;266;681;62;258;3.1;58
4.4;228;639;58;260;3.6;50
4.1;151;521;49;260;2.6;53
3.3;52;218;32;256;2.6;54
2.1;2;0;2;252;2.1;60
1.2;0;0;0;249;1.5;63
0.8;0;0;0;247;2.6;65
-0.2;0;0;0;245;1.5;80
-0.6;0;0;0;243;2.1;78
-1.0;0;0;0;241;1.0;76
-1.3;0;0;0;240;0.0;78
-1.6;0;0;0;239;1.0;82
-1.8;0;0;0;238;1.0;80
-2.3;0;0;0;237;0.0;85
-3.2;0;0;0;233;1.0;87
-1.6;0;0;0;239;1.5;80
-1.3;0;0;0;241;1.5;82
-1.4;0;0;0;240;1.5;80
-1.3;0;0;0;241;2.6;84
-1.1;0;0;0;241;2.6;82
-0.8;31;84;26;243;2.6;83
0.3;123;230;84;247;1.5;74
2.4;209;622;53;256;1.0;76
3.3;261;668;63;265;1.0;76
4.9;137;83;112;301;1.0;81
5.6;197;324;110;290;2.1;79
5.7;110;142;82;291;2.1;78
4.7;54;218;33;282;1.0;82
3.5;2;0;2;268;1.0;86
2.2;0;0;0;257;1.0;89
1.7;0;0;0;255;2.1;92
1.6;0;0;0;255;2.6;92
2.5;0;0;0;258;1.5;89
2.9;0;0;0;276;2.6;87
2.9;0;0;0;292;3.6;90
3.9;0;0;0;279;2.6;92
4.7;0;0;0;274;5.1;88
4.7;0;0;0;277;4.1;87
5.2;0;0;0;279;3.6;84
5.9;0;0;0;283;3.6;86
5.7;0;0;0;279;4.6;89
5.6;0;0;0;278;4.1;89
5.5;0;0;0;272;3.6;88
5.9;0;0;0;289;4.1;88
6.5;16;0;16;291;5.1;85
6.7;25;0;25;295;4.6;88
6.5;42;0;42;297;4.1;90
6.6;52;0;52;322;4.6;94
6.8;54;0;54;323;4.6;94
